2026-02-04T18:41:43.536969Z	  497 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ where patient0_.voided=0
2026-02-04T18:41:43.540494Z	  497 Query	commit
2026-02-04T18:41:43.540820Z	  497 Query	set session transaction read write
2026-02-04T18:41:43.540922Z	  497 Query	SET autocommit=1
2026-02-04T18:41:43.543784Z	  497 Query	SET autocommit=0
2026-02-04T18:41:43.543896Z	  497 Query	set session transaction read only
2026-02-04T18:41:43.543979Z	  497 Query	SET autocommit=0
2026-02-04T18:41:43.544089Z	  497 Query	commit
2026-02-04T18:41:43.544326Z	  497 Query	set session transaction read write
2026-02-04T18:41:43.544398Z	  497 Query	SET autocommit=1
2026-02-04T18:41:43.544569Z	  497 Query	SET autocommit=0
2026-02-04T18:41:43.544650Z	  497 Query	set session transaction read only
2026-02-04T18:41:43.544712Z	  497 Query	SET autocommit=0
2026-02-04T18:41:43.545258Z	  497 Query	commit
2026-02-04T18:41:43.545393Z	  497 Query	set session transaction read write
2026-02-04T18:41:43.545480Z	  497 Query	SET autocommit=1
2026-02-04T18:41:43.545586Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.545677Z	  501 Query	set session transaction read only
2026-02-04T18:41:43.545770Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.545865Z	  501 Query	commit
2026-02-04T18:41:43.546005Z	  501 Query	set session transaction read write
2026-02-04T18:41:43.546109Z	  501 Query	SET autocommit=1
2026-02-04T18:41:43.549173Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.549297Z	  501 Query	set session transaction read only
2026-02-04T18:41:43.549378Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.549617Z	  501 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.gender='F'
2026-02-04T18:41:43.559325Z	  501 Query	commit
2026-02-04T18:41:43.559775Z	  501 Query	set session transaction read write
2026-02-04T18:41:43.559927Z	  501 Query	SET autocommit=1
2026-02-04T18:41:43.566603Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.566821Z	  501 Query	set session transaction read only
2026-02-04T18:41:43.566972Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.567142Z	  501 Query	commit
2026-02-04T18:41:43.567476Z	  501 Query	set session transaction read write
2026-02-04T18:41:43.567581Z	  501 Query	SET autocommit=1
2026-02-04T18:41:43.567802Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.567869Z	  501 Query	set session transaction read only
2026-02-04T18:41:43.567942Z	  501 Query	SET autocommit=0
2026-02-04T18:41:43.568491Z	  501 Query	commit
2026-02-04T18:41:43.568619Z	  501 Query	set session transaction read write
2026-02-04T18:41:43.568680Z	  501 Query	SET autocommit=1
