
2026-02-07T20:56:52.304685Z	 2554 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ where patient0_.voided=0
2026-02-07T20:56:52.343420Z	 2554 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.gender='F'
2026-02-07T20:56:52.380925Z	 2554 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.gender='M'
2026-02-07T20:56:52.399552Z	 2564 Query	select this_.serialized_object_id as serializ1_225_0_, this_.uuid as uuid2_225_0_, this_.name as name3_225_0_, this_.description as descript4_225_0_, this_.type as type5_225_0_, this_.subtype as subtype6_225_0_, this_.serialization_class as serializ7_225_0_, this_.serialized_data as serializ8_225_0_, this_.date_created as date_cre9_225_0_, this_.date_changed as date_ch10_225_0_, this_.retired as retired11_225_0_, this_.date_retired as date_re12_225_0_, this_.retire_reason as retire_13_225_0_, this_.creator as creator14_225_0_, this_.changed_by as changed15_225_0_, this_.retired_by as retired16_225_0_ from serialized_object this_ where this_.uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1'
2026-02-07T20:56:52.453419Z	 2564 Query	select user0_.user_id as user_id1_256_, user0_.uuid as uuid2_256_, user0_.person_id as person_i3_256_, user0_.system_id as system_i4_256_, user0_.username as username5_256_, user0_.email as email6_256_, user0_.creator as creator19_256_, user0_.date_created as date_cre7_256_, user0_.changed_by as changed_8_256_, user0_.date_changed as date_cha9_256_, user0_.retired as retired10_256_, user0_.retired_by as retired11_256_, user0_.date_retired as date_re12_256_, user0_.retire_reason as retire_13_256_ from users user0_ where user0_.uuid='A4F30A1B-5EB9-11DF-A648-37A07F9C90FB'
2026-02-07T20:56:52.486086Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2024-10-31' and c.birth_date >= '2020-10-31')
2026-02-07T20:56:52.493421Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.493647Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.510766Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2015-10-31' and c.birth_date >= '2010-10-31')
2026-02-07T20:56:52.516388Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.516774Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.541653Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2010-10-31' and c.birth_date >= '2005-10-31')
2026-02-07T20:56:52.547182Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.547479Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.576097Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2005-10-31' and c.birth_date >= '2000-10-31')
2026-02-07T20:56:52.581289Z	 2554 Query	SELECT @@session.transaction_read_only
